iter,parameters_1
874.0,0.12927141785621643
875.0,0.12940552830696106
876.0,0.12953956425189972
877.0,0.1296735256910324
878.0,0.12980739772319794
879.0,0.1299411952495575
880.0,0.1300749033689499
881.0,0.13020853698253632
882.0,0.13034209609031677
883.0,0.13047556579113007
884.0,0.1306089609861374
885.0,0.13074228167533875
886.0,0.13087552785873413
887.0,0.13100868463516235
888.0,0.1311417669057846
889.0,0.1312747746706009
890.0,0.1314077079296112
891.0,0.13154056668281555
892.0,0.13167333602905273
893.0,0.13180603086948395
894.0,0.1319386512041092
895.0,0.13207119703292847
896.0,0.13220366835594177
897.0,0.1323360651731491
898.0,0.13246838748455048
899.0,0.13260063529014587
900.0,0.1327328085899353
901.0,0.13286490738391876
902.0,0.13299693167209625
903.0,0.13312888145446777
904.0,0.13326075673103333
905.0,0.1333925575017929
906.0,0.13352428376674652
907.0,0.13365593552589417
908.0,0.13378752768039703
909.0,0.13391904532909393
910.0,0.13405048847198486
911.0,0.13418185710906982
912.0,0.13431315124034882
913.0,0.13444438576698303
914.0,0.13457554578781128
915.0,0.13470663130283356
916.0,0.13483764231204987
917.0,0.1349685937166214
918.0,0.13509947061538696
919.0,0.13523027300834656
920.0,0.13536101579666138
921.0,0.13549168407917023
922.0,0.1356222778558731
923.0,0.1357528120279312
924.0,0.13588327169418335
925.0,0.1360136717557907
926.0,0.1361439973115921
927.0,0.13627424836158752
928.0,0.13640443980693817
929.0,0.13653455674648285
930.0,0.13666461408138275
931.0,0.13679459691047668
932.0,0.13692452013492584
933.0,0.13705436885356903
934.0,0.13718415796756744
935.0,0.1373138725757599
936.0,0.13744352757930756
937.0,0.13757312297821045
938.0,0.13770264387130737
939.0,0.13783210515975952
940.0,0.1379615068435669
941.0,0.1380908340215683
942.0,0.13822010159492493
943.0,0.13834929466247559
944.0,0.13847842812538147
945.0,0.13860750198364258
946.0,0.1387365162372589
947.0,0.13886545598506927
948.0,0.13899433612823486
949.0,0.13912315666675568
950.0,0.1392519176006317
951.0,0.13938060402870178
952.0,0.13950923085212708
953.0,0.1396377980709076
954.0,0.13976630568504333
955.0,0.1398947536945343
956.0,0.1400231271982193
957.0,0.14015144109725952
958.0,0.14027969539165497
959.0,0.14040789008140564
960.0,0.14053602516651154
961.0,0.14066410064697266
962.0,0.140792116522789
963.0,0.14092007279396057
964.0,0.14104796946048737
965.0,0.14117580652236938
966.0,0.14130358397960663
967.0,0.1414313018321991
968.0,0.1415589451789856
969.0,0.14168652892112732
970.0,0.14181406795978546
971.0,0.14194154739379883
972.0,0.14206896722316742
973.0,0.14219632744789124
974.0,0.14232362806797028
975.0,0.14245086908340454
976.0,0.14257805049419403
977.0,0.14270517230033875
978.0,0.14283223450183868
979.0,0.14295923709869385
980.0,0.14308618009090424
981.0,0.14321306347846985
982.0,0.14333988726139069
983.0,0.14346666634082794
984.0,0.14359338581562042
985.0,0.14372004568576813
986.0,0.14384664595127106
987.0,0.1439731866121292
988.0,0.14409968256950378
989.0,0.14422611892223358
990.0,0.1443524956703186
991.0,0.14447881281375885
992.0,0.14460507035255432
993.0,0.1447312831878662
994.0,0.14485743641853333
995.0,0.14498353004455566
996.0,0.14510957896709442
997.0,0.1452355682849884
998.0,0.1453614979982376
999.0,0.14548736810684204
1000.0,0.1456131935119629
1001.0,0.14573895931243896
1002.0,0.14586466550827026
1003.0,0.14599032700061798
1004.0,0.14611592888832092
1005.0,0.14624148607254028
1006.0,0.14636698365211487
1007.0,0.14649242162704468
1008.0,0.1466178148984909
1009.0,0.14674314856529236
1010.0,0.14686843752861023
1011.0,0.14699366688728333
1012.0,0.14711883664131165
1013.0,0.14724396169185638
1014.0,0.14736902713775635
1015.0,0.14749404788017273
1016.0,0.14761900901794434
1017.0,0.14774392545223236
1018.0,0.1478687822818756
1019.0,0.14799359440803528
1020.0,0.14811834692955017
1021.0,0.14824305474758148
1022.0,0.14836770296096802
1023.0,0.14849230647087097
1024.0,0.14861685037612915
1025.0,0.14874134957790375
1026.0,0.14886578917503357
1027.0,0.1489901840686798
1028.0,0.14911451935768127
1029.0,0.14923880994319916
1030.0,0.14936305582523346
1031.0,0.14948724210262299
1032.0,0.14961138367652893
1033.0,0.1497354656457901
1034.0,0.1498595029115677
1035.0,0.1499834954738617
1036.0,0.15010742843151093
1037.0,0.15023131668567657
1038.0,0.15035514533519745
1039.0,0.15047892928123474
1040.0,0.15060266852378845
1041.0,0.1507263481616974
1042.0,0.15084998309612274
1043.0,0.15097357332706451
1044.0,0.1510971039533615
